Title,Year,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID,Nominee,Winner,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Science Fiction,Genre_TV Movie,Genre_Thriller,Genre_War,Genre_Western
Chappie,2015,6.784,8231,49000000,104399548,198184,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Charlie's Angels,2019,6.4,3072,48000000,73279888,458897,0,0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chemical Hearts,2020,7.319,1143,0,0,621013,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Chip 'n Dale: Rescue Rangers,2022,6.999,1314,70000000,623190,420821,0,0,False,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
Christopher Robin,2018,7.304,2840,75000000,197744377,420814,0,0,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Cinderella,2015,6.8,7248,95000000,543514353,150689,0,0,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False
Circle,2015,6.014,2070,250000,0,335866,0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False
Civil War,2024,6.849,3928,50000000,126542249,929590,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Clifford the Big Red Dog,2021,7.2,1779,64000000,107347356,585245,0,0,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Climax,2018,7.046,2260,2900000,1696075,507076,0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Cocaine Bear,2023,6.022,2286,32500000,88314672,804150,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Coco,2017,8.201,20421,175000000,814641172,354912,0,0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
CODA,2021,7.903,2426,10000000,1905058,776503,1,1,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
Cold Pursuit,2019,5.9,2710,60000000,76419755,438650,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Collateral Beauty,2016,7.218,5480,36000000,88528280,345920,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Color Out of Space,2020,6.1,1597,6000000,1023510,548473,0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False
Coming 2 America,2021,6.368,2312,60000000,0,484718,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Conclave,2024,7.202,3005,20000000,115657988,974576,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Concussion,2015,7.079,2649,35000000,50400000,321741,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Countdown,2019,6.217,2227,6500000,48021766,599975,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Crawl,2019,6.32,3266,13500000,91500000,511987,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Crazy Rich Asians,2018,7.062,3841,30000000,238539198,455207,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Creed,2015,7.407,7739,37000000,173600000,312221,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Creed II,2018,7.0,5629,50000000,214200000,480530,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Creed III,2023,7.1,2745,75000000,275300000,677179,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Crimson Peak,2015,6.66,5112,55000000,74700000,201085,0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
Cruella,2021,8.0,9784,200000000,233503234,337404,0,0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Da 5 Bloods,2020,6.448,1132,45000000,0,581859,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Daddy's Home,2015,6.292,3321,50000000,242786137,274167,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Daddy's Home 2,2017,6.305,2645,69000000,180613180,419680,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Damsel,2024,6.997,2589,60000000,5000,763215,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Dark Phoenix,2019,5.962,6846,200000000,252442974,320288,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
