distance,kicker,result,target
30,M.Wright,Make,1
48,R.Gould,Make,1
45,R.Gould,Make,1
43,K.Fairbairn,Make,1
24,K.Fairbairn,Make,1
37,K.Fairbairn,Make,1
54,M.Crosby,Make,1
51,G.Joseph,Make,1
32,M.Crosby,Miss,0
29,G.Joseph,Make,1
40,C.Santos,Miss,0
35,J.Tucker,Make,1
27,J.Tucker,Make,1
46,J.Tucker,Make,1
26,D.Carlson,Make,1
54,E.McPherson,Make,1
47,D.Carlson,Make,1
53,E.McPherson,Make,1
51,E.McPherson,Make,1
47,E.McPherson,Make,1
27,J.Myers,Make,1
27,J.Myers,Make,1
39,M.Prater,Miss,0
53,M.Prater,Make,1
36,M.Prater,Miss,0
37,H.Butker,Make,1
33,G.Zuerlein,Make,1
30,G.Zuerlein,Make,1
53,H.Butker,Make,1
48,G.Zuerlein,Make,1
51,H.Butker,Miss,0
36,C.Boswell,Make,1
30,D.Hopkins,Make,1
41,D.Hopkins,Make,1
36,C.Boswell,Make,1
45,C.Boswell,Make,1
37,G.Gano,Make,1
25,R.Succop,Make,1
40,R.Succop,Make,1
30,R.Succop,Make,1
52,C.McLaughlin,Make,1
41,S.Harris,Make,1
45,Z.Gonzalez,Make,1
49,G.Gano,Make,1
53,G.Gano,Make,1
44,G.Gano,Make,1
48,M.Ammendola,Miss,0
39,N.Folk,Make,1
50,N.Folk,Make,1
34,R.Bullock,Make,1
51,R.Bullock,Make,1
42,H.Butker,Make,1
57,H.Butker,Miss,0
42,T.Slaton,Make,1
34,M.Crosby,Make,1
39,M.Crosby,Make,1
45,C.Blewitt,Make,1
33,Y.Koo,Make,1
49,J.Sanders,Make,1
36,Y.Koo,Make,1
36,Y.Koo,Make,1
52,E.McPherson,Make,1
45,J.Tucker,Make,1
30,E.McPherson,Make,1
37,A.Seibert,Make,1
33,M.Gay,Make,1
47,A.Seibert,Make,1
41,A.Seibert,Make,1
31,A.Seibert,Make,1
47,M.Gay,Make,1
28,D.Carlson,Make,1
39,D.Carlson,Make,1
53,K.Fairbairn,Make,1
31,M.Prater,Make,1
43,R.Succop,Miss,0
28,C.Santos,Make,1
22,R.Succop,Make,1
34,J.Slye,Make,1
56,J.Slye,Make,1
